id,title,handle,body_html,created_at,updated_at,vendor,product_type,variant_id,variant_title,variant_price,variant_sku,variant_position,variant_grams,variant_compare_at_price,variant_requires_shipping,variant_taxable,variant_featured_image,variant_available,variant_created_at,variant_updated_at,variant_product_id,variant_option1,variant_option2,variant_option3,image_id,image_position,image_created_at,image_updated_at,image_product_id,image_src,image_variant_ids,image_width,image_height,option_name,option_position,option_values
6.76188E+12,Crunchy Chocolate Chip Mini Cookies - 10 Halloween Snack Packs,crunchy-chocolate-chip-mini-cookies-10-halloween-snack-packs-1,"<p>Delight your trick-or-treaters with Partake's best-selling cookie flavor in a new, limited edition Halloween snack pack! Crunchy Chocolate Chip Mini Cookie Snack Packs bring the same big chocolate chip flavor you already know and love in a bite-sized form.</p>
<p>Safe for school and ideal for grab-and-go, these vegan, allergy-friendly &amp; non-GMO mini chocolate chip cookies will go the distance to keep you satisfied.</p>
<p>Each box contains ten (10) individually-wrapped snack packs.</p>",2022-08-19T16:58:49-04:00,2022-09-13T10:00:06-04:00,Partake Foods,Cookies,3.99787E+13,3 Boxes,29.99,,2,0,,TRUE,TRUE,,TRUE,2022-08-19T16:58:49-04:00,2022-09-10T14:15:40-04:00,6.76188E+12,3 Boxes,,,2.87976E+13,4,2022-09-07T22:37:09-04:00,2022-09-07T22:40:18-04:00,6.76188E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Partake-Mini-Cookies-Top9Free.png?v=1662604818,[],1500,1500,Pack,1,"['2 Boxes', '3 Boxes']"
4.48162E+12,Harvest Variety Pack,harvest-variety-pack,"<meta charset=""utf-8"">
<p><span>LIMITED EDITION: Back by popular demand, one of our best-selling variety packs of all time is here—but with a twist and only for a short time. Stock up on Crunchy Ginger Snap Cookies, best-selling Soft Baked Pumpkin Spice Cookies, and our new, limited edition Pumpkin Spice Mix just in time for sweater weather.</span></p>
<div style=""position: absolute; left: -35px; top: 71px;"" id=""gtx-trans"">
<div class=""gtx-trans-icon""></div>
</div>",2020-08-11T15:16:40-04:00,2022-09-28T15:55:52-04:00,Partake Foods,Cookies,3.9979E+13,6 Boxes,32.99,99-01055,2,468,,TRUE,FALSE,,TRUE,2022-08-19T20:10:19-04:00,2022-09-14T20:16:53-04:00,4.48162E+12,6 Boxes,,,2.87838E+13,1,2022-08-31T21:50:13-04:00,2022-08-31T21:50:14-04:00,4.48162E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Pumpkin_Ginger_Lineup_v5.png?v=1661997014,[],1080,1080,Size,1,"['3 Boxes', '6 Boxes']"
6.59594E+12,Snack Pack - Pumpkin Spice (24 ct),snack-pack-pumpkin-spice,"<p data-pm-slice=""1 1 []"">Get a case of our seasonal, snack pack-sized fam favorite just in time for Pumpkin Spice season. These spiced, soft-baked cookies will warm any fall day. Like all things Partake, these cookies are gluten-free, vegan, allergy-friendly, and non-GMO.</p>
<p>Each snack pack is the ideal allergy-friendly, on-the-go addition to your everyday life. Cases include 24 individually-wrapped, 1.09 oz packages of Soft Baked Pumpkin Spice cookies (3 cookies per package).</p>",2021-09-17T15:56:05-04:00,2022-09-07T13:57:20-04:00,Partake Foods,Cookies,3.94185E+13,24 Pack,34.99,00749-4,1,468,,TRUE,FALSE,,FALSE,2021-09-17T15:56:05-04:00,2022-09-02T10:39:46-04:00,6.59594E+12,24 Pack,,,2.87838E+13,3,2022-08-31T21:48:40-04:00,2022-08-31T21:48:43-04:00,6.59594E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Back.png?v=1661996923,[],3543,4429,Size,1,['24 Pack']
6.75558E+12,GRIN Pumpkin Lovers Variety Pack,grin-pumpkin-lovers-variety-4-pack,"<div class=""product__description rte small-paragraph"">
<p data-open-accessibility-text-original=""15px"" data-pm-slice=""1 1 []"">LIMITED EDITION: Our Pumpkin Lover's Variety Pack has everything you need to celebrate pumpkin spice season like a champion—and like all things Partake, these cookies and muffin mix are vegan, non-GMO, gluten-free, and top 9 allergen-free.</p>
<p data-open-accessibility-text-original=""15px"">Our Soft Baked Pumpkin Spice cookies have sold out the past 2 years for a reason! And our<span> </span><strong>new</strong><span> </span>Pumpkin Spice Muffin Mix is the perfect fit for anyone looking for fresh-baked pumpkin goodness. Both offerings are the ideal match for brunch or your afternoon tea or coffee.</p>
</div>",2022-08-09T15:59:13-04:00,2022-09-07T13:58:49-04:00,Partake Foods,Cookies,3.99601E+13,Default Title,26.99,99-01053,1,1996,,TRUE,FALSE,,TRUE,2022-08-09T15:59:13-04:00,2022-08-09T16:09:56-04:00,6.75558E+12,Default Title,,,2.87273E+13,1,2022-08-09T16:00:18-04:00,2022-08-09T16:00:19-04:00,6.75558E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/PumpkinLoversVarietyPackFOP_0c6d9d73-0e0a-4871-98e6-e0871bbe7131.png?v=1660075219,[],2060,2060,Title,1,['Default Title']
6.75557E+12,GRIN Soft Baked Pumpkin Spice 5.5oz box,grin-soft-baked-pumpkin-spice-5-5oz-box,"<p><span>LIMITED EDITION: This fam favorite is back! There's a reason our Soft Baked Pumpkin Spice Cookies have sold out two years in a row! These spiced, soft-baked cookies will warm any fall day. Like all things Partake, these cookies are gluten-free, vegan, top 9 allergen-free, and non-GMO. </span></p>",2022-08-09T15:45:55-04:00,2022-09-08T00:05:36-04:00,Partake Foods,Cookies,3.996E+13,Default Title,5.49,99-01051,1,468,,TRUE,FALSE,,TRUE,2022-08-09T15:45:55-04:00,2022-09-08T00:01:57-04:00,6.75557E+12,Default Title,,,2.87273E+13,1,2022-08-09T15:46:41-04:00,2022-08-09T15:46:43-04:00,6.75557E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SoftBakedPumpkinSpiceCookiesFOP45_1.png?v=1660074403,[],1596,1596,Title,1,['Default Title']
6.75558E+12,GRIN Pumpkin Spice Muffin Baking Mix 13oz box,grin-pumpkin-spice-muffin-baking-mix-13oz-box,"<p><span data-mce-fragment=""1"">LIMITED EDITION: Hints of pumpkin, cinnamon, ginger, and nutmeg make our NEW Pumpkin Spice Muffin Mix a fall pantry must have. Make fresh-from-the-oven muffins in minutes—simply mix with a few simple ingredients, bake and enjoy.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1""><span data-mce-fragment=""1"">Like all things Partake, our newest baking mix is made with better-for-you ingredients and is certified vegan, gluten-free, top 9 allergen-free and non-GMO.</span><br><meta charset=""utf-8""></p>",2022-08-09T15:53:40-04:00,2022-09-10T17:46:34-04:00,Partake Foods,Baking Mix,3.99601E+13,Default Title,8,99-01052,1,468,,TRUE,FALSE,,TRUE,2022-08-09T15:53:40-04:00,2022-09-10T17:43:40-04:00,6.75558E+12,Default Title,,,2.87273E+13,1,2022-08-09T15:54:59-04:00,2022-08-09T15:55:00-04:00,6.75558E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/PumpkinSpiceMuffinMixFOP_0c62abe4-659c-4bd4-a0eb-dbb7848486e9.png?v=1660074900,[],910,910,Title,1,['Default Title']
4.4719E+12,Soft Baked Pumpkin Spice Cookies,soft-baked-pumpkin-spice-cookies,"<p><span>LIMITED EDITION: This fam favorite is back! There's a reason our Soft Baked Pumpkin Spice Cookies have sold out two years in a row! These spiced, soft-baked cookies will warm any fall day. Like all things Partake, these cookies are gluten-free, vegan, top 9 allergen-free, and non-GMO. </span></p>
<p><br></p>",2020-07-26T22:11:01-04:00,2022-10-02T09:35:44-04:00,Partake Foods,Cookies,3.18424E+13,6 Boxes,32.99,60-07480,2,936,,TRUE,FALSE,,TRUE,2020-07-26T22:11:01-04:00,2022-10-01T16:08:21-04:00,4.4719E+12,6 Boxes,,,2.87054E+13,6,2022-08-01T09:34:28-04:00,2022-08-12T09:46:48-04:00,4.4719E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/SoftBakedPumpkinSpiceCookiesFreeFrom.png?v=1660312008,[],1606,1606,Size,1,"['3 Boxes', '6 Boxes']"
6.74651E+12,Pumpkin Lover's Variety Pack,pumpkin-lovers-variety-pack,"<meta charset=""utf-8"">
<p data-pm-slice=""1 1 []"">LIMITED EDITION: Our Pumpkin Lover's Variety Pack has everything you need to celebrate pumpkin spice season like a champion—and like all things Partake, these cookies and muffin mix are vegan, non-GMO, gluten-free, and top 9 allergen-free.</p>
<p>Our Soft Baked Pumpkin Spice cookies have sold out the past 2 years for a reason! And our <strong>new</strong> Pumpkin Spice Muffin Mix is the perfect fit for anyone looking for fresh-baked pumpkin goodness. Both offerings are the ideal match for brunch or your afternoon tea or coffee.<br></p>
<div style=""position: absolute; left: -35px; top: 71px;"" id=""gtx-trans"">
<div class=""gtx-trans-icon""></div>
</div>",2022-07-22T11:32:46-04:00,2022-09-25T22:15:55-04:00,Partake Foods,Cookies,3.99281E+13,4 Boxes,26.99,99-01048,1,468,,TRUE,FALSE,,TRUE,2022-07-22T11:32:46-04:00,2022-09-25T22:13:56-04:00,6.74651E+12,4 Boxes,,,2.87054E+13,1,2022-08-01T09:35:22-04:00,2022-08-01T09:35:24-04:00,6.74651E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/PumpkinLoversVarietyPackFOP.png?v=1659360924,[],2060,2060,Size,1,['4 Boxes']
6.74649E+12,Pumpkin Spice Muffin Baking Mix,pumpkin-spice-muffin-baking-mix,"<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span>LIMITED EDITION: Hints of pumpkin, cinnamon, ginger, and nutmeg make our NEW Pumpkin Spice Muffin Mix a fall pantry must have. Make fresh-from-the-oven muffins in minutes—simply mix with a few simple ingredients, bake and enjoy. </span><br><br><span>Like all things Partake, our newest baking mix is made with better-for-you ingredients and is certified vegan, gluten-free, top 9 allergen-free and non-GMO. </span></p>",2022-07-22T10:24:30-04:00,2022-10-01T15:42:55-04:00,Partake Foods,Baking Mix,3.99279E+13,4 Pack,29.99,40-28337,2,936,,TRUE,FALSE,,TRUE,2022-07-22T10:24:30-04:00,2022-09-23T17:42:41-04:00,6.74649E+12,4 Pack,,,2.87053E+13,4,2022-08-01T08:43:20-04:00,2022-08-01T09:44:37-04:00,6.74649E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/PumpkinSpiceMuffinMixstills_3.png?v=1659361477,[],1080,1080,Size,1,"['2 Pack', '4 Pack']"
6.60537E+12,Brownie Mix,byo-brownie-mix-1-pack,"<span data-mce-fragment=""1"">Warm, fudgy, chocolatey. A decadent and super satisfying treat—just add water and oil.</span>",2021-10-22T19:23:36-04:00,2022-10-01T14:52:31-04:00,Partake Foods,BYO,3.94495E+13,Default Title,8,00758-9,1,0,,TRUE,TRUE,,TRUE,2021-10-22T19:23:36-04:00,2022-10-01T14:45:12-04:00,6.60537E+12,Default Title,,,2.84353E+13,1,2022-03-10T17:36:57-05:00,2022-03-10T17:37:01-05:00,6.60537E+12,https://cdn.shopify.com/s/files/1/0012/2296/7353/products/Brownie_2400x2400_front_1_c2e91c76-0d10-4820-a59a-ddf82ab2ca34.png?v=1646951821,[],2400,2400,Title,1,['Default Title']
